Gene stable ID,Interpro ID,Interpro Description
WBGene00003559,IPR017907,"Zinc finger, RING-type, conserved site"
WBGene00003559,IPR018957,"Zinc finger, C3HC4 RING-type"
WBGene00003561,IPR000731,Sterol-sensing domain
WBGene00003561,IPR003392,Protein patched/dispatched
WBGene00003561,IPR032190,"Niemann-Pick C1, N-terminal"
WBGene00003562,IPR000731,Sterol-sensing domain
WBGene00003562,IPR003392,Protein patched/dispatched
WBGene00003562,IPR032190,"Niemann-Pick C1, N-terminal"
WBGene00003563,IPR002048,EF-hand domain
WBGene00003563,IPR011992,EF-hand domain pair
WBGene00003563,IPR018247,"EF-Hand 1, calcium-binding site"
WBGene00003563,IPR028846,Recoverin family
WBGene00003564,IPR002048,EF-hand domain
WBGene00003564,IPR011992,EF-hand domain pair
WBGene00003564,IPR018247,"EF-Hand 1, calcium-binding site"
WBGene00003564,IPR028846,Recoverin family
WBGene00003565,IPR002048,EF-hand domain
WBGene00003565,IPR011992,EF-hand domain pair
WBGene00003565,IPR018247,"EF-Hand 1, calcium-binding site"
WBGene00003565,IPR028846,Recoverin family
WBGene00003566,IPR003644,Na-Ca exchanger/integrin-beta4
WBGene00003566,IPR004836,Sodium/calcium exchanger protein
WBGene00003566,IPR004837,Sodium/calcium exchanger membrane region
WBGene00003566,IPR032452,"Sodium/calcium exchanger domain, C-terminal extension"
WBGene00003566,IPR038081,CalX-like domain superfamily
WBGene00003567,IPR003644,Na-Ca exchanger/integrin-beta4
WBGene00003567,IPR004836,Sodium/calcium exchanger protein
WBGene00003567,IPR004837,Sodium/calcium exchanger membrane region
WBGene00003567,IPR032452,"Sodium/calcium exchanger domain, C-terminal extension"
WBGene00003567,IPR038081,CalX-like domain superfamily
WBGene00003568,IPR003644,Na-Ca exchanger/integrin-beta4
WBGene00003568,IPR004836,Sodium/calcium exchanger protein
WBGene00003568,IPR004837,Sodium/calcium exchanger membrane region
WBGene00003568,IPR038081,CalX-like domain superfamily
WBGene00003569,IPR004481,Sodium/potassium/calcium exchanger
WBGene00003569,IPR004837,Sodium/calcium exchanger membrane region
WBGene00003570,IPR004481,Sodium/potassium/calcium exchanger
WBGene00003570,IPR004837,Sodium/calcium exchanger membrane region
WBGene00003570,IPR030243,Sodium/potassium/calcium exchanger NCKX30C-like
WBGene00003571,IPR004837,Sodium/calcium exchanger membrane region
WBGene00003572,IPR004837,Sodium/calcium exchanger membrane region
WBGene00003573,IPR004837,Sodium/calcium exchanger membrane region
WBGene00003574,IPR004837,Sodium/calcium exchanger membrane region
WBGene00003575,IPR004837,Sodium/calcium exchanger membrane region
WBGene00003576,IPR005550,Kinetochore protein Ndc80
WBGene00003576,IPR038273,Ndc80 domain superfamily
WBGene00003577,IPR006621,"Nose resistant-to-fluoxetine protein, N-terminal"
WBGene00003578,IPR000086,NUDIX hydrolase domain
WBGene00003578,IPR015797,NUDIX hydrolase-like domain superfamily
WBGene00003578,IPR020084,"NUDIX hydrolase, conserved site"
WBGene00003578,IPR020476,NUDIX hydrolase
WBGene00003579,IPR000086,NUDIX hydrolase domain
WBGene00003579,IPR015797,NUDIX hydrolase-like domain superfamily
WBGene00003579,IPR020084,"NUDIX hydrolase, conserved site"
WBGene00003579,IPR020476,NUDIX hydrolase
WBGene00003580,IPR000059,"NUDIX hydrolase, NudL, conserved site"
WBGene00003580,IPR000086,NUDIX hydrolase domain
WBGene00003580,IPR015797,NUDIX hydrolase-like domain superfamily
WBGene00003580,IPR020084,"NUDIX hydrolase, conserved site"
WBGene00003581,IPR000086,NUDIX hydrolase domain
WBGene00003581,IPR003565,Bis(5'-nucleosyl)-tetraphosphatase
WBGene00003581,IPR015797,NUDIX hydrolase-like domain superfamily
WBGene00003581,IPR020084,"NUDIX hydrolase, conserved site"
WBGene00003582,IPR000086,NUDIX hydrolase domain
WBGene00003582,IPR007722,"mRNA decapping protein 2, Box A domain"
WBGene00003582,IPR015797,NUDIX hydrolase-like domain superfamily
WBGene00003582,IPR020084,"NUDIX hydrolase, conserved site"
WBGene00003582,IPR036189,"mRNA decapping protein 2, Box A domain superfamily"
WBGene00003583,IPR000086,NUDIX hydrolase domain
WBGene00003583,IPR015797,NUDIX hydrolase-like domain superfamily
WBGene00003583,IPR039989,"ADP-ribose pyrophosphatase, mitochondrial"
WBGene00003584,IPR000086,NUDIX hydrolase domain
WBGene00003584,IPR015797,NUDIX hydrolase-like domain superfamily
WBGene00003584,IPR039121,Nucleoside diphosphate-linked moiety X motif 19
WBGene00003585,IPR000086,NUDIX hydrolase domain
WBGene00003585,IPR015797,NUDIX hydrolase-like domain superfamily
WBGene00003586,IPR000086,NUDIX hydrolase domain
WBGene00003586,IPR015797,NUDIX hydrolase-like domain superfamily
WBGene00003586,IPR020084,"NUDIX hydrolase, conserved site"
WBGene00003587,IPR000626,Ubiquitin-like domain
WBGene00003587,IPR019954,Ubiquitin conserved site
WBGene00003587,IPR019956,Ubiquitin domain
WBGene00003587,IPR029071,Ubiquitin-like domain superfamily
WBGene00003587,IPR038738,Nedd8-like ubiquitin
WBGene00003588,IPR001464,Annexin
WBGene00003588,IPR018252,"Annexin repeat, conserved site"
WBGene00003588,IPR018502,Annexin repeat
WBGene00003588,IPR037104,Annexin superfamily
WBGene00003589,IPR001464,Annexin
WBGene00003589,IPR018252,"Annexin repeat, conserved site"
WBGene00003589,IPR018502,Annexin repeat
WBGene00003589,IPR037104,Annexin superfamily
WBGene00003590,IPR001464,Annexin
WBGene00003590,IPR018252,"Annexin repeat, conserved site"
WBGene00003590,IPR018502,Annexin repeat
WBGene00003590,IPR037104,Annexin superfamily
WBGene00003591,IPR001464,Annexin
WBGene00003591,IPR018502,Annexin repeat
WBGene00003591,IPR037104,Annexin superfamily
WBGene00003592,IPR000647,CTF transcription factor/nuclear factor 1
WBGene00003592,IPR003619,"MAD homology 1, Dwarfin-type"
WBGene00003592,IPR019548,"CTF transcription factor/nuclear factor 1, N-terminal"
WBGene00003592,IPR020604,"CTF transcription factor/nuclear factor 1, DNA-binding domain"
WBGene00003593,IPR000299,FERM domain
WBGene00003593,IPR000798,Ezrin/radixin/moesin-like
WBGene00003593,IPR008954,Moesin tail domain superfamily
WBGene00003593,IPR011259,"Ezrin/radixin/moesin, C-terminal"
WBGene00003593,IPR011993,PH-like domain superfamily
WBGene00003593,IPR014352,FERM/acyl-CoA-binding protein superfamily
WBGene00003593,IPR018979,"FERM, N-terminal"
WBGene00003593,IPR018980,"FERM, C-terminal PH-like domain"
WBGene00003593,IPR019748,FERM central domain
WBGene00003593,IPR019749,Band 4.1 domain
WBGene00003593,IPR029071,Ubiquitin-like domain superfamily
WBGene00003593,IPR035963,"FERM superfamily, second domain"
WBGene00003593,IPR041789,"ERM family, FERM domain C-lobe"
WBGene00003594,IPR001110,"Uncharacterised protein family UPF0012, conserved site"
WBGene00003594,IPR001310,Histidine triad (HIT) protein
WBGene00003594,IPR003010,Carbon-nitrogen hydrolase
WBGene00003594,IPR011146,HIT-like domain
WBGene00003594,IPR019808,"Histidine triad, conserved site"
WBGene00003594,IPR036265,HIT-like superfamily
WBGene00003594,IPR036526,Carbon-nitrogen hydrolase superfamily
WBGene00003594,IPR039383,FHIT family
WBGene00003595,IPR011598,"Myc-type, basic helix-loop-helix (bHLH) domain"
WBGene00003595,IPR036638,Helix-loop-helix DNA-binding domain superfamily
WBGene00003596,IPR006073,GTP binding domain
WBGene00003596,IPR012971,"Nucleolar GTP-binding protein 2, N-terminal domain"
WBGene00003596,IPR023179,"GTP-binding protein, orthogonal bundle domain superfamily"
WBGene00003596,IPR024929,Nucleolar GTP-binding protein 2
WBGene00003596,IPR027417,P-loop containing nucleoside triphosphate hydrolase
WBGene00003596,IPR030378,Circularly permuted (CP)-type guanine nucleotide-binding (G) domain
WBGene00003597,IPR001258,NHL repeat
WBGene00003597,IPR001841,"Zinc finger, RING-type"
WBGene00003597,IPR011042,"Six-bladed beta-propeller, TolB-like"
WBGene00003597,IPR013017,"NHL repeat, subgroup"
WBGene00003597,IPR013083,"Zinc finger, RING/FYVE/PHD-type"
WBGene00003597,IPR017907,"Zinc finger, RING-type, conserved site"
WBGene00003597,IPR018957,"Zinc finger, C3HC4 RING-type"
WBGene00003598,IPR000315,B-box-type zinc finger
WBGene00003598,IPR001258,NHL repeat
WBGene00003598,IPR001841,"Zinc finger, RING-type"
WBGene00003598,IPR003649,"B-box, C-terminal"
WBGene00003598,IPR011042,"Six-bladed beta-propeller, TolB-like"
WBGene00003598,IPR017907,"Zinc finger, RING-type, conserved site"
WBGene00003598,IPR027370,"RING-type zinc-finger, LisH dimerisation motif"
WBGene00003599,IPR000315,B-box-type zinc finger
WBGene00003599,IPR001298,Filamin/ABP280 repeat
WBGene00003599,IPR001841,"Zinc finger, RING-type"
WBGene00003599,IPR011042,"Six-bladed beta-propeller, TolB-like"
WBGene00003599,IPR013017,"NHL repeat, subgroup"
WBGene00003599,IPR013083,"Zinc finger, RING/FYVE/PHD-type"
WBGene00003599,IPR013783,Immunoglobulin-like fold
WBGene00003599,IPR014756,Immunoglobulin E-set
WBGene00003599,IPR017868,Filamin/ABP280 repeat-like
WBGene00003599,IPR017907,"Zinc finger, RING-type, conserved site"
WBGene00003600,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003600,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003600,IPR001723,Nuclear hormone receptor
WBGene00003600,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003600,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003601,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003601,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003602,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003602,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003602,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003602,IPR016355,Nuclear hormone receptor family 5
WBGene00003602,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003603,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003603,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003603,IPR001723,Nuclear hormone receptor
WBGene00003603,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003603,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003604,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003604,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003604,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003604,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003605,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003605,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003605,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003605,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003606,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003606,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003606,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003606,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003607,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003607,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003607,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003607,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003608,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003608,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003608,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003608,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003609,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003609,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003609,IPR001723,Nuclear hormone receptor
WBGene00003609,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003609,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003610,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003610,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003610,IPR001723,Nuclear hormone receptor
WBGene00003610,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003610,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003611,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003611,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003611,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003611,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003612,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003612,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003612,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003612,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003613,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003613,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003613,IPR001723,Nuclear hormone receptor
WBGene00003613,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003613,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003614,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003614,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003614,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003614,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003615,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003615,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003615,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003615,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003616,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003616,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003616,IPR001723,Nuclear hormone receptor
WBGene00003616,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003616,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003617,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003617,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003617,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003617,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003618,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003618,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003618,IPR001723,Nuclear hormone receptor
WBGene00003618,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003618,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003619,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003619,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003619,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003619,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003620,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003620,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003620,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003620,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003621,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003621,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003621,IPR001723,Nuclear hormone receptor
WBGene00003621,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003621,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003622,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003622,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003622,IPR001723,Nuclear hormone receptor
WBGene00003622,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003622,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003623,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003623,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003623,IPR001723,Nuclear hormone receptor
WBGene00003623,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003623,IPR016355,Nuclear hormone receptor family 5
WBGene00003623,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003624,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003624,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003624,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003624,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003625,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003625,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003625,IPR001723,Nuclear hormone receptor
WBGene00003625,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003625,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003626,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003626,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003626,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003626,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003627,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003627,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003627,IPR001723,Nuclear hormone receptor
WBGene00003627,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003627,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003628,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003628,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003628,IPR001723,Nuclear hormone receptor
WBGene00003628,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003628,IPR016355,Nuclear hormone receptor family 5
WBGene00003628,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003629,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003629,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003629,IPR016355,Nuclear hormone receptor family 5
WBGene00003630,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003630,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003630,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003630,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003632,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003632,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003632,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003632,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003633,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003633,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003633,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003633,IPR016355,Nuclear hormone receptor family 5
WBGene00003633,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003634,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003634,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003634,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003634,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003635,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003635,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003635,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003635,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003636,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003636,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003636,IPR001723,Nuclear hormone receptor
WBGene00003636,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003636,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003637,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003637,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003637,IPR001723,Nuclear hormone receptor
WBGene00003637,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003637,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003638,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003638,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003639,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003639,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003639,IPR001723,Nuclear hormone receptor
WBGene00003639,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003639,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003640,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003640,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003640,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003640,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003640,IPR042936,Nuclear hormone receptor family member nhr-150
WBGene00003641,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003641,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003641,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003641,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003642,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003642,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003642,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003642,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003643,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003643,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003643,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003643,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003644,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003644,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003644,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003644,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003645,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003645,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003645,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003645,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003646,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003646,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003646,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003646,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003647,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003647,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003647,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003647,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003648,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003648,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003648,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003648,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003649,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003649,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003649,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003649,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003650,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003650,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003650,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003650,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003651,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003651,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003651,IPR002999,Tudor domain
WBGene00003651,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003651,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003652,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003652,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003652,IPR001723,Nuclear hormone receptor
WBGene00003652,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003652,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003653,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003653,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003653,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003653,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003653,IPR042936,Nuclear hormone receptor family member nhr-150
WBGene00003654,IPR000003,Retinoid X receptor/HNF4
WBGene00003654,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003654,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003654,IPR001723,Nuclear hormone receptor
WBGene00003654,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003654,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003655,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003655,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003655,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003655,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003656,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003656,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003656,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003656,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003657,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003657,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003657,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003658,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003658,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003658,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003658,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003659,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003659,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003659,IPR001723,Nuclear hormone receptor
WBGene00003659,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003659,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003660,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003660,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003660,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003660,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003661,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003661,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003661,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003661,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003662,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003662,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003662,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003662,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003663,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
WBGene00003663,IPR001628,"Zinc finger, nuclear hormone receptor-type"
WBGene00003663,IPR013088,"Zinc finger, NHR/GATA-type"
WBGene00003663,IPR035500,Nuclear hormone receptor-like domain superfamily
WBGene00003664,IPR000536,"Nuclear hormone receptor, ligand-binding domain"
