Gene stable ID,Interpro ID,Interpro Description,SpectralCounts
WBGene00001607,IPR027302,"Glutamine synthetase, N-terminal conserved site",1
WBGene00001607,IPR036651,"Glutamine synthetase, N-terminal domain superfamily",1
WBGene00001620,IPR001991,Sodium:dicarboxylate symporter,4
WBGene00001620,IPR018107,"Sodium:dicarboxylate symporter, conserved site",4
WBGene00001620,IPR036458,Sodium:dicarboxylate symporter superfamily,4
WBGene00001628,IPR000772,"Ricin B, lectin domain",18
WBGene00001628,IPR001173,Glycosyltransferase 2-like,18
WBGene00001628,IPR029044,Nucleotide-diphospho-sugar transferases,18
WBGene00001628,IPR035992,Ricin B-like lectins,18
WBGene00001629,IPR000772,"Ricin B, lectin domain",20
WBGene00001629,IPR001173,Glycosyltransferase 2-like,20
WBGene00001629,IPR029044,Nucleotide-diphospho-sugar transferases,20
WBGene00001629,IPR035992,Ricin B-like lectins,20
WBGene00001630,IPR000772,"Ricin B, lectin domain",51
WBGene00001630,IPR001173,Glycosyltransferase 2-like,51
WBGene00001630,IPR029044,Nucleotide-diphospho-sugar transferases,51
WBGene00001630,IPR035992,Ricin B-like lectins,51
WBGene00001632,IPR000772,"Ricin B, lectin domain",14
WBGene00001632,IPR001173,Glycosyltransferase 2-like,14
WBGene00001632,IPR029044,Nucleotide-diphospho-sugar transferases,14
WBGene00001632,IPR035992,Ricin B-like lectins,14
WBGene00001633,IPR001173,Glycosyltransferase 2-like,1
WBGene00001633,IPR029044,Nucleotide-diphospho-sugar transferases,1
WBGene00001635,IPR000772,"Ricin B, lectin domain",1
WBGene00001635,IPR001173,Glycosyltransferase 2-like,1
WBGene00001635,IPR029044,Nucleotide-diphospho-sugar transferases,1
WBGene00001635,IPR035992,Ricin B-like lectins,1
WBGene00001638,IPR004139,"Glycosyl transferase, family 13",1
WBGene00001638,IPR029044,Nucleotide-diphospho-sugar transferases,1
WBGene00001648,IPR001019,"Guanine nucleotide binding protein (G-protein), alpha subunit",67
WBGene00001648,IPR001408,"G-protein alpha subunit, group I",67
WBGene00001648,IPR011025,"G protein alpha subunit, helical insertion",67
WBGene00001648,IPR027417,P-loop containing nucleoside triphosphate hydrolase,67
WBGene00001649,IPR023214,HAD superfamily,1
WBGene00001649,IPR036412,HAD-like superfamily,1
WBGene00001649,IPR041064,"Trehalose-6-phosphate phosphatase, helical bundle domain",1
WBGene00001669,IPR001019,"Guanine nucleotide binding protein (G-protein), alpha subunit",1
WBGene00001669,IPR001408,"G-protein alpha subunit, group I",1
WBGene00001669,IPR011025,"G protein alpha subunit, helical insertion",1
WBGene00001669,IPR027417,P-loop containing nucleoside triphosphate hydrolase,1
WBGene00001673,IPR001019,"Guanine nucleotide binding protein (G-protein), alpha subunit",1
WBGene00001673,IPR011025,"G protein alpha subunit, helical insertion",1
WBGene00001673,IPR027417,P-loop containing nucleoside triphosphate hydrolase,1
WBGene00001678,IPR001019,"Guanine nucleotide binding protein (G-protein), alpha subunit",1
WBGene00001678,IPR001408,"G-protein alpha subunit, group I",1
WBGene00001678,IPR011025,"G protein alpha subunit, helical insertion",1
WBGene00001678,IPR027417,P-loop containing nucleoside triphosphate hydrolase,1
WBGene00001679,IPR001632,"G-protein, beta subunit",96
WBGene00001679,IPR001680,WD40 repeat,96
WBGene00001679,IPR015943,WD40/YVTN repeat-like-containing domain superfamily,96
WBGene00001679,IPR016346,"Guanine nucleotide-binding protein, beta subunit",96
WBGene00001679,IPR017986,WD40-repeat-containing domain,96
WBGene00001679,IPR019775,"WD40 repeat, conserved site",96
WBGene00001679,IPR020472,G-protein beta WD-40 repeat,96
WBGene00001679,IPR036322,WD40-repeat-containing domain superfamily,96
WBGene00001682,IPR015898,G-protein gamma-like domain,18
WBGene00001682,IPR036284,G-protein gamma-like domain superfamily,18
WBGene00001682,IPR039227,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-13,18
WBGene00001683,IPR006424,"Glyceraldehyde-3-phosphate dehydrogenase, type I",6
WBGene00001683,IPR020828,"Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain",6
WBGene00001683,IPR020829,"Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain",6
WBGene00001683,IPR020830,"Glyceraldehyde 3-phosphate dehydrogenase, active site",6
WBGene00001683,IPR020831,Glyceraldehyde/Erythrose phosphate dehydrogenase family,6
WBGene00001683,IPR036291,NAD(P)-binding domain superfamily,6
WBGene00001684,IPR006424,"Glyceraldehyde-3-phosphate dehydrogenase, type I",33
WBGene00001684,IPR020828,"Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain",33
WBGene00001684,IPR020829,"Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain",33
WBGene00001684,IPR020830,"Glyceraldehyde 3-phosphate dehydrogenase, active site",33
WBGene00001684,IPR020831,Glyceraldehyde/Erythrose phosphate dehydrogenase family,33
WBGene00001684,IPR036291,NAD(P)-binding domain superfamily,33
WBGene00001685,IPR006424,"Glyceraldehyde-3-phosphate dehydrogenase, type I",52
WBGene00001685,IPR020828,"Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain",52
WBGene00001685,IPR020829,"Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain",52
WBGene00001685,IPR020830,"Glyceraldehyde 3-phosphate dehydrogenase, active site",52
WBGene00001685,IPR020831,Glyceraldehyde/Erythrose phosphate dehydrogenase family,52
WBGene00001685,IPR036291,NAD(P)-binding domain superfamily,52
WBGene00001686,IPR006424,"Glyceraldehyde-3-phosphate dehydrogenase, type I",8
WBGene00001686,IPR020828,"Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain",8
WBGene00001686,IPR020829,"Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain",8
WBGene00001686,IPR020830,"Glyceraldehyde 3-phosphate dehydrogenase, active site",8
WBGene00001686,IPR020831,Glyceraldehyde/Erythrose phosphate dehydrogenase family,8
WBGene00001686,IPR036291,NAD(P)-binding domain superfamily,8
WBGene00001687,IPR001863,Glypican,1
WBGene00001692,IPR007284,Ground-like domain,9
WBGene00001708,IPR000239,GPCR kinase,1
WBGene00001708,IPR000719,Protein kinase domain,1
WBGene00001708,IPR000961,"AGC-kinase, C-terminal",1
WBGene00001708,IPR008271,"Serine/threonine-protein kinase, active site",1
WBGene00001708,IPR011009,Protein kinase-like domain superfamily,1
WBGene00001708,IPR016137,RGS domain,1
WBGene00001708,IPR017441,"Protein kinase, ATP binding site",1
WBGene00001708,IPR036305,RGS domain superfamily,1
WBGene00001724,IPR007284,Ground-like domain,27
WBGene00001734,,,1
WBGene00001744,IPR000738,WHEP-TRS domain,44
WBGene00001744,IPR002314,"Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)",44
WBGene00001744,IPR002315,Glycyl-tRNA synthetase,44
WBGene00001744,IPR004154,Anticodon-binding,44
WBGene00001744,IPR006195,"Aminoacyl-tRNA synthetase, class II",44
WBGene00001744,IPR009068,"S15/NS1, RNA-binding",44
WBGene00001744,IPR027031,Glycyl-tRNA synthetase/DNA polymerase subunit gamma-2,44
WBGene00001744,IPR033731,Glycyl-tRNA synthetase-like core domain,44
WBGene00001744,IPR036621,Anticodon-binding domain superfamily,44
WBGene00001746,IPR000719,Protein kinase domain,2
WBGene00001746,IPR008271,"Serine/threonine-protein kinase, active site",2
WBGene00001746,IPR011009,Protein kinase-like domain superfamily,2
WBGene00001746,IPR017441,"Protein kinase, ATP binding site",2
WBGene00001746,IPR039192,"Glycogen synthase kinase 3, catalytic domain",2
WBGene00001747,IPR004843,"Calcineurin-like phosphoesterase domain, ApaH type",13
WBGene00001747,IPR006186,Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase,13
WBGene00001747,IPR029052,Metallo-dependent phosphatase-like,13
WBGene00001747,IPR031675,"Serine-threonine protein phosphatase, N-terminal",13
WBGene00001748,IPR004843,"Calcineurin-like phosphoesterase domain, ApaH type",7
WBGene00001748,IPR006186,Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase,7
WBGene00001748,IPR029052,Metallo-dependent phosphatase-like,7
WBGene00001748,IPR031675,"Serine-threonine protein phosphatase, N-terminal",7
WBGene00001749,IPR003082,"Glutathione S-transferase, Pi class",30
WBGene00001749,IPR004045,"Glutathione S-transferase, N-terminal",30
WBGene00001749,IPR004046,"Glutathione S-transferase, C-terminal",30
WBGene00001749,IPR010987,"Glutathione S-transferase, C-terminal-like",30
WBGene00001749,IPR036249,Thioredoxin-like superfamily,30
WBGene00001749,IPR036282,"Glutathione S-transferase, C-terminal domain superfamily",30
WBGene00001749,IPR040079,Glutathione Transferase family,30
WBGene00001752,IPR004045,"Glutathione S-transferase, N-terminal",21
WBGene00001752,IPR004046,"Glutathione S-transferase, C-terminal",21
WBGene00001752,IPR010987,"Glutathione S-transferase, C-terminal-like",21
WBGene00001752,IPR036249,Thioredoxin-like superfamily,21
WBGene00001752,IPR036282,"Glutathione S-transferase, C-terminal domain superfamily",21
WBGene00001752,IPR040079,Glutathione Transferase family,21
WBGene00001753,IPR004045,"Glutathione S-transferase, N-terminal",16
WBGene00001753,IPR004046,"Glutathione S-transferase, C-terminal",16
WBGene00001753,IPR010987,"Glutathione S-transferase, C-terminal-like",16
WBGene00001753,IPR036249,Thioredoxin-like superfamily,16
WBGene00001753,IPR036282,"Glutathione S-transferase, C-terminal domain superfamily",16
WBGene00001753,IPR040079,Glutathione Transferase family,16
WBGene00001754,IPR004045,"Glutathione S-transferase, N-terminal",12
WBGene00001754,IPR004046,"Glutathione S-transferase, C-terminal",12
WBGene00001754,IPR010987,"Glutathione S-transferase, C-terminal-like",12
WBGene00001754,IPR036249,Thioredoxin-like superfamily,12
WBGene00001754,IPR036282,"Glutathione S-transferase, C-terminal domain superfamily",12
WBGene00001755,IPR004045,"Glutathione S-transferase, N-terminal",49
WBGene00001755,IPR004046,"Glutathione S-transferase, C-terminal",49
WBGene00001755,IPR010987,"Glutathione S-transferase, C-terminal-like",49
WBGene00001755,IPR036249,Thioredoxin-like superfamily,49
WBGene00001755,IPR036282,"Glutathione S-transferase, C-terminal domain superfamily",49
WBGene00001755,IPR040079,Glutathione Transferase family,49
WBGene00001758,IPR004045,"Glutathione S-transferase, N-terminal",7
WBGene00001758,IPR004046,"Glutathione S-transferase, C-terminal",7
WBGene00001758,IPR010987,"Glutathione S-transferase, C-terminal-like",7
WBGene00001758,IPR036249,Thioredoxin-like superfamily,7
WBGene00001758,IPR036282,"Glutathione S-transferase, C-terminal domain superfamily",7
WBGene00001761,IPR004045,"Glutathione S-transferase, N-terminal",4
WBGene00001761,IPR004046,"Glutathione S-transferase, C-terminal",4
WBGene00001761,IPR010987,"Glutathione S-transferase, C-terminal-like",4
WBGene00001761,IPR036249,Thioredoxin-like superfamily,4
WBGene00001761,IPR036282,"Glutathione S-transferase, C-terminal domain superfamily",4
WBGene00001768,IPR004045,"Glutathione S-transferase, N-terminal",6
WBGene00001768,IPR004046,"Glutathione S-transferase, C-terminal",6
WBGene00001768,IPR010987,"Glutathione S-transferase, C-terminal-like",6
WBGene00001768,IPR036249,Thioredoxin-like superfamily,6
WBGene00001768,IPR036282,"Glutathione S-transferase, C-terminal domain superfamily",6
WBGene00001768,IPR040079,Glutathione Transferase family,6
WBGene00001772,IPR004045,"Glutathione S-transferase, N-terminal",30
WBGene00001772,IPR004046,"Glutathione S-transferase, C-terminal",30
WBGene00001772,IPR010987,"Glutathione S-transferase, C-terminal-like",30
WBGene00001772,IPR036249,Thioredoxin-like superfamily,30
WBGene00001772,IPR036282,"Glutathione S-transferase, C-terminal domain superfamily",30
WBGene00001774,IPR004045,"Glutathione S-transferase, N-terminal",11
WBGene00001774,IPR004046,"Glutathione S-transferase, C-terminal",11
WBGene00001774,IPR010987,"Glutathione S-transferase, C-terminal-like",11
WBGene00001774,IPR036249,Thioredoxin-like superfamily,11
WBGene00001774,IPR036282,"Glutathione S-transferase, C-terminal domain superfamily",11
WBGene00001774,IPR040079,Glutathione Transferase family,11
WBGene00001775,IPR004045,"Glutathione S-transferase, N-terminal",24
WBGene00001775,IPR004046,"Glutathione S-transferase, C-terminal",24
WBGene00001775,IPR010987,"Glutathione S-transferase, C-terminal-like",24
WBGene00001775,IPR036249,Thioredoxin-like superfamily,24
WBGene00001775,IPR036282,"Glutathione S-transferase, C-terminal domain superfamily",24
WBGene00001776,IPR004045,"Glutathione S-transferase, N-terminal",7
WBGene00001776,IPR004046,"Glutathione S-transferase, C-terminal",7
WBGene00001776,IPR010987,"Glutathione S-transferase, C-terminal-like",7
WBGene00001776,IPR036249,Thioredoxin-like superfamily,7
WBGene00001776,IPR036282,"Glutathione S-transferase, C-terminal domain superfamily",7
WBGene00001776,IPR040079,Glutathione Transferase family,7
WBGene00001784,IPR004045,"Glutathione S-transferase, N-terminal",116
WBGene00001784,IPR004046,"Glutathione S-transferase, C-terminal",116
WBGene00001784,IPR010987,"Glutathione S-transferase, C-terminal-like",116
WBGene00001784,IPR036249,Thioredoxin-like superfamily,116
WBGene00001784,IPR036282,"Glutathione S-transferase, C-terminal domain superfamily",116
WBGene00001784,IPR040079,Glutathione Transferase family,116
WBGene00001790,IPR004045,"Glutathione S-transferase, N-terminal",9
WBGene00001790,IPR004046,"Glutathione S-transferase, C-terminal",9
WBGene00001790,IPR005955,"Glutathione S-transferases, class Zeta",9
WBGene00001790,IPR010987,"Glutathione S-transferase, C-terminal-like",9
WBGene00001790,IPR034330,"Glutathione S-transferases, class Zeta , C-terminal",9
WBGene00001790,IPR034333,"Glutathione S-transferases, class Zeta , N-terminal",9
WBGene00001790,IPR036249,Thioredoxin-like superfamily,9
WBGene00001790,IPR036282,"Glutathione S-transferase, C-terminal domain superfamily",9
WBGene00001790,IPR040079,Glutathione Transferase family,9
WBGene00001793,IPR008631,Glycogen synthase,31
WBGene00001794,IPR004631,"4-aminobutyrate aminotransferase, eukaryotic",79
WBGene00001794,IPR005814,Aminotransferase class-III,79
WBGene00001794,IPR015421,"Pyridoxal phosphate-dependent transferase, major domain",79
WBGene00001794,IPR015422,Pyridoxal phosphate-dependent transferase domain 1,79
WBGene00001794,IPR015424,Pyridoxal phosphate-dependent transferase,79
WBGene00001812,IPR003439,ABC transporter-like,4
WBGene00001812,IPR003593,AAA+ ATPase domain,4
WBGene00001812,IPR011527,"ABC transporter type 1, transmembrane domain",4
WBGene00001812,IPR013305,ABC transporter Tap-like,4
WBGene00001812,IPR017871,"ABC transporter, conserved site",4
WBGene00001812,IPR027417,P-loop containing nucleoside triphosphate hydrolase,4
WBGene00001812,IPR036640,"ABC transporter type 1, transmembrane domain superfamily",4
WBGene00001812,IPR039421,Type I protein exporter,4
WBGene00001814,IPR003439,ABC transporter-like,8
WBGene00001814,IPR003593,AAA+ ATPase domain,8
WBGene00001814,IPR011527,"ABC transporter type 1, transmembrane domain",8
WBGene00001814,IPR013305,ABC transporter Tap-like,8
WBGene00001814,IPR017871,"ABC transporter, conserved site",8
WBGene00001814,IPR027417,P-loop containing nucleoside triphosphate hydrolase,8
WBGene00001814,IPR036640,"ABC transporter type 1, transmembrane domain superfamily",8
WBGene00001814,IPR039421,Type I protein exporter,8
WBGene00001815,IPR003439,ABC transporter-like,5
WBGene00001815,IPR003593,AAA+ ATPase domain,5
WBGene00001815,IPR011527,"ABC transporter type 1, transmembrane domain",5
WBGene00001815,IPR017871,"ABC transporter, conserved site",5
WBGene00001815,IPR027417,P-loop containing nucleoside triphosphate hydrolase,5
WBGene00001815,IPR036640,"ABC transporter type 1, transmembrane domain superfamily",5
WBGene00001815,IPR039421,Type I protein exporter,5
WBGene00001819,IPR003439,ABC transporter-like,13
WBGene00001819,IPR003593,AAA+ ATPase domain,13
WBGene00001819,IPR011527,"ABC transporter type 1, transmembrane domain",13
WBGene00001819,IPR013305,ABC transporter Tap-like,13
WBGene00001819,IPR017871,"ABC transporter, conserved site",13
WBGene00001819,IPR027417,P-loop containing nucleoside triphosphate hydrolase,13
WBGene00001819,IPR036640,"ABC transporter type 1, transmembrane domain superfamily",13
WBGene00001819,IPR039421,Type I protein exporter,13
WBGene00001828,IPR000742,EGF-like domain,33
WBGene00001828,IPR000859,CUB domain,33
WBGene00001828,IPR000884,Thrombospondin type-1 (TSP1) repeat,33
WBGene00001828,IPR001506,Peptidase M12A,33
WBGene00001828,IPR006026,"Peptidase, metallopeptidase",33
WBGene00001828,IPR017050,"Metallopeptidase, nematode",33
WBGene00001828,IPR024079,"Metallopeptidase, catalytic domain superfamily",33
WBGene00001828,IPR034035,Astacin-like metallopeptidase domain,33
WBGene00001828,IPR035914,"Spermadhesin, CUB domain superfamily",33
WBGene00001829,,,1
WBGene00001830,,,17
WBGene00001834,IPR000286,Histone deacetylase family,1
WBGene00001834,IPR003084,Histone deacetylase,1
WBGene00001834,IPR023696,Ureohydrolase domain superfamily,1
WBGene00001834,IPR023801,Histone deacetylase domain,1
WBGene00001834,IPR037138,Histone deacetylase domain superfamily,1
WBGene00001840,IPR001650,"Helicase, C-terminal",47
WBGene00001840,IPR011545,DEAD/DEAH box helicase domain,47
WBGene00001840,IPR014001,"Helicase superfamily 1/2, ATP-binding domain",47
WBGene00001840,IPR014014,"RNA helicase, DEAD-box type, Q motif",47
WBGene00001840,IPR027417,P-loop containing nucleoside triphosphate hydrolase,47
WBGene00001843,IPR005708,"Homogentisate 1,2-dioxygenase",71
WBGene00001843,IPR011051,RmlC-like cupin domain superfamily,71
WBGene00001843,IPR014710,RmlC-like jelly roll fold,71
WBGene00001863,IPR000152,EGF-type aspartate/asparagine hydroxylation site,16
WBGene00001863,IPR000742,EGF-like domain,16
WBGene00001863,IPR001881,EGF-like calcium-binding domain,16
WBGene00001863,IPR003598,Immunoglobulin subtype 2,16
WBGene00001863,IPR003599,Immunoglobulin subtype,16
WBGene00001863,IPR007110,Immunoglobulin-like domain,16
WBGene00001863,IPR009030,Growth factor receptor cysteine-rich domain superfamily,16
WBGene00001863,IPR013098,Immunoglobulin I-set,16
WBGene00001863,IPR013106,Immunoglobulin V-set domain,16
WBGene00001863,IPR013783,Immunoglobulin-like fold,16
WBGene00001863,IPR018097,"EGF-like calcium-binding, conserved site",16
WBGene00001863,IPR036179,Immunoglobulin-like domain superfamily,16
WBGene00001863,IPR036465,von Willebrand factor A-like domain superfamily,16
WBGene00001898,IPR005818,"Linker histone H1/H5, domain H15",9
WBGene00001898,IPR005819,Linker histone H1/H5,9
WBGene00001898,IPR036388,Winged helix-like DNA-binding domain superfamily,9
WBGene00001898,IPR036390,Winged helix DNA-binding domain superfamily,9
WBGene00001971,IPR009071,High mobility group box domain,8
WBGene00001971,IPR036910,High mobility group box domain superfamily,8
WBGene00001980,IPR000152,EGF-type aspartate/asparagine hydroxylation site,3
WBGene00001980,IPR000233,"Cadherin, cytoplasmic domain",3
WBGene00001980,IPR000742,EGF-like domain,3
WBGene00001980,IPR001791,Laminin G domain,3
WBGene00001980,IPR002126,Cadherin-like,3
WBGene00001980,IPR013320,Concanavalin A-like lectin/glucanase domain superfamily,3
WBGene00001980,IPR015919,Cadherin-like superfamily,3
WBGene00001980,IPR020894,Cadherin conserved site,3
WBGene00001980,IPR018247,"EF-Hand 1, calcium-binding site",3
WBGene00001983,IPR001279,Metallo-beta-lactamase,1
WBGene00001983,IPR036866,Ribonuclease Z/Hydroxyacylglutathione hydrolase-like,1
WBGene00001993,IPR004360,Glyoxalase/fosfomycin resistance/dioxygenase domain,138
WBGene00001993,IPR005956,4-hydroxyphenylpyruvate dioxygenase,138
WBGene00001993,IPR029068,Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase,138
WBGene00001993,IPR037523,Vicinal oxygen chelate (VOC) domain,138
WBGene00001993,IPR041735,"4-hydroxyphenylpyruvate dioxygenase, C-terminal",138
WBGene00001993,IPR041736,"4-hydroxyphenylpyruvate dioxygenase, N-terminal",138
WBGene00002000,IPR000504,RNA recognition motif domain,18
WBGene00002000,IPR006535,HnRNP R/Q splicing factor,18
WBGene00002000,IPR012677,Nucleotide-binding alpha-beta plait domain superfamily,18
WBGene00002000,IPR035979,RNA-binding domain superfamily,18
WBGene00002000,IPR041337,Heterogeneous nuclear ribonucleoprotein Q acidic domain,18
WBGene00002000,,,18
WBGene00002001,IPR004154,Anticodon-binding,45
WBGene00002001,IPR004516,Histidine-tRNA ligase/ATP phosphoribosyltransferase regulatory subunit,45
WBGene00002001,IPR006195,"Aminoacyl-tRNA synthetase, class II",45
WBGene00002001,IPR015807,Histidine-tRNA ligase,45
WBGene00002001,IPR033656,Histidyl-anticodon-binding,45
WBGene00002001,IPR036621,Anticodon-binding domain superfamily,45
WBGene00002001,IPR041715,Class II Histidinyl-tRNA synthetase (HisRS)-like catalytic core domain,45
WBGene00002005,IPR013126,Heat shock protein 70 family,524
WBGene00002005,IPR018181,"Heat shock protein 70, conserved site",524
WBGene00002005,IPR029047,"Heat shock protein 70kD, peptide-binding domain superfamily",524
WBGene00002005,IPR029048,"Heat shock protein 70kD, C-terminal domain superfamily",524
WBGene00002005,IPR043129,"ATPase, nucleotide binding domain",524
WBGene00002007,IPR013126,Heat shock protein 70 family,191
WBGene00002007,IPR018181,"Heat shock protein 70, conserved site",191
WBGene00002007,IPR029047,"Heat shock protein 70kD, peptide-binding domain superfamily",191
WBGene00002007,IPR029048,"Heat shock protein 70kD, C-terminal domain superfamily",191
WBGene00002007,IPR042050,"Endoplasmic reticulum chaperone BIP, nucleotide-binding domain",191
WBGene00002007,IPR043129,"ATPase, nucleotide binding domain",191
WBGene00002008,IPR013126,Heat shock protein 70 family,106
WBGene00002008,IPR018181,"Heat shock protein 70, conserved site",106
WBGene00002008,IPR029047,"Heat shock protein 70kD, peptide-binding domain superfamily",106
WBGene00002008,IPR029048,"Heat shock protein 70kD, C-terminal domain superfamily",106
WBGene00002008,IPR042050,"Endoplasmic reticulum chaperone BIP, nucleotide-binding domain",106
WBGene00002008,IPR043129,"ATPase, nucleotide binding domain",106
WBGene00002010,IPR012725,Chaperone DnaK,22
WBGene00002010,IPR013126,Heat shock protein 70 family,22
WBGene00002010,IPR018181,"Heat shock protein 70, conserved site",22
WBGene00002010,IPR029047,"Heat shock protein 70kD, peptide-binding domain superfamily",22
WBGene00002010,IPR029048,"Heat shock protein 70kD, C-terminal domain superfamily",22
WBGene00002010,IPR043129,"ATPase, nucleotide binding domain",22
WBGene00002023,IPR001436,"Alpha crystallin/Small heat shock protein, animal type",4
WBGene00002023,IPR002068,Alpha crystallin/Hsp20 domain,4
WBGene00002023,IPR008978,HSP20-like chaperone,4
WBGene00002024,IPR001436,"Alpha crystallin/Small heat shock protein, animal type",1
WBGene00002024,IPR002068,Alpha crystallin/Hsp20 domain,1
WBGene00002024,IPR008978,HSP20-like chaperone,1
WBGene00002025,IPR001844,Chaperonin Cpn60,288
WBGene00002025,IPR002423,Chaperonin Cpn60/TCP-1 family,288
WBGene00002025,IPR018370,"Chaperonin Cpn60, conserved site",288
WBGene00002025,IPR027409,GroEL-like apical domain superfamily,288
WBGene00002025,IPR027410,TCP-1-like chaperonin intermediate domain superfamily,288
WBGene00002025,IPR027413,GroEL-like equatorial domain superfamily,288
WBGene00002025,IPR017998,Chaperone tailless complex polypeptide 1 (TCP-1),288
WBGene00002035,IPR001452,SH3 domain,55
WBGene00002035,IPR001609,"Myosin head, motor domain",55
WBGene00002035,IPR010926,Class I myosin tail homology domain,55
WBGene00002035,IPR025660,"Cysteine peptidase, histidine active site",55
WBGene00002035,IPR027417,P-loop containing nucleoside triphosphate hydrolase,55
WBGene00002035,IPR036028,SH3-like domain superfamily,55
WBGene00002035,IPR036072,"Class I myosin, motor domain",55
WBGene00002035,IPR036961,Kinesin motor domain superfamily,55
WBGene00002036,IPR000048,"IQ motif, EF-hand binding site",2
WBGene00002036,IPR001609,"Myosin head, motor domain",2
WBGene00002036,IPR002710,Dilute domain,2
WBGene00002036,IPR027417,P-loop containing nucleoside triphosphate hydrolase,2
WBGene00002036,IPR036103,"Class V myosin, motor domain",2
WBGene00002036,IPR036961,Kinesin motor domain superfamily,2
WBGene00002037,IPR000048,"IQ motif, EF-hand binding site",235
WBGene00002037,IPR000299,FERM domain,235
WBGene00002037,IPR000857,MyTH4 domain,235
WBGene00002037,IPR001452,SH3 domain,235
WBGene00002037,IPR001609,"Myosin head, motor domain",235
WBGene00002037,IPR011993,PH-like domain superfamily,235
WBGene00002037,IPR019748,FERM central domain,235
WBGene00002037,IPR019749,Band 4.1 domain,235
WBGene00002037,IPR027417,P-loop containing nucleoside triphosphate hydrolase,235
WBGene00002037,IPR035963,"FERM superfamily, second domain",235
WBGene00002037,IPR036028,SH3-like domain superfamily,235
WBGene00002037,IPR036961,Kinesin motor domain superfamily,235
WBGene00002037,IPR038185,MyTH4 domain superfamily,235
WBGene00002038,IPR000048,"IQ motif, EF-hand binding site",123
WBGene00002038,IPR001609,"Myosin head, motor domain",123
WBGene00002038,IPR010926,Class I myosin tail homology domain,123
WBGene00002038,IPR027417,P-loop containing nucleoside triphosphate hydrolase,123
WBGene00002038,IPR036072,"Class I myosin, motor domain",123
WBGene00002038,IPR036961,Kinesin motor domain superfamily,123
WBGene00002039,IPR000048,"IQ motif, EF-hand binding site",3
WBGene00002039,IPR000299,FERM domain,3
WBGene00002039,IPR000857,MyTH4 domain,3
WBGene00002039,IPR001452,SH3 domain,3
WBGene00002039,IPR001609,"Myosin head, motor domain",3
WBGene00002039,IPR008989,"Myosin S1 fragment, N-terminal",3
WBGene00002039,IPR011993,PH-like domain superfamily,3
WBGene00002039,IPR014352,FERM/acyl-CoA-binding protein superfamily,3
WBGene00002039,IPR019748,FERM central domain,3
WBGene00002039,IPR019749,Band 4.1 domain,3
WBGene00002039,IPR027417,P-loop containing nucleoside triphosphate hydrolase,3
WBGene00002039,IPR029071,Ubiquitin-like domain superfamily,3
WBGene00002039,IPR035963,"FERM superfamily, second domain",3
WBGene00002039,IPR036106,"Class VII myosin, motor domain",3
WBGene00002039,IPR036961,Kinesin motor domain superfamily,3
WBGene00002039,IPR038185,MyTH4 domain superfamily,3
WBGene00002039,IPR041793,"Myosin VII, FERM domain C-lobe, repeat 1",3
WBGene00002039,IPR041794,"Myosin VII, FERM domain C-lobe, repeat 2",3
WBGene00002041,IPR000048,"IQ motif, EF-hand binding site",3
WBGene00002041,IPR001609,"Myosin head, motor domain",3
WBGene00002041,IPR027417,P-loop containing nucleoside triphosphate hydrolase,3
WBGene00002041,IPR032412,"Myosin VI, cargo binding domain",3
WBGene00002041,IPR036114,"Class VI myosin, motor domain",3
WBGene00002041,IPR036961,Kinesin motor domain superfamily,3
WBGene00002044,IPR006634,TRAM/LAG1/CLN8 homology domain,3
WBGene00002044,IPR016439,Sphingosine N-acyltransferase Lag1/Lac1-like,3
WBGene00002045,IPR002715,Nascent polypeptide-associated complex NAC domain,15
WBGene00002045,IPR038187,NAC A/B domain superfamily,15
WBGene00002045,IPR039370,Transcription factor BTF3,15
WBGene00002048,IPR000242,PTP type protein phosphatase,1
WBGene00002048,IPR000387,Tyrosine specific protein phosphatases domain,1
WBGene00002048,IPR003595,"Protein-tyrosine phosphatase, catalytic",1
WBGene00002048,IPR029021,Protein-tyrosine phosphatase-like,1
WBGene00002048,IPR033522,Receptor-type tyrosine-protein phosphatase-like N/N2,1
WBGene00002053,IPR001322,Lamin tail domain,13
WBGene00002053,IPR016451,"Intermediate filament, ifa/ifb",13
WBGene00002053,IPR018039,"Intermediate filament protein, conserved site",13
WBGene00002053,IPR036415,Lamin tail domain superfamily,13
WBGene00002053,IPR039008,"Intermediate filament, rod domain",13
WBGene00002053,IPR042180,"Intermediate filament, rod domain, coil 1B",13
WBGene00002056,IPR039008,"Intermediate filament, rod domain",4
